elliq_text,user_text,memory_name,entity,value,group_id
Is now a good time to hang out?,no honey i got to get ready to go downstairs for a meeting,place,name,downstairs,e687aa1f-93aa-4c50-b0e9-0d4ae9fb6c3a
Are you going to meet someone?,i'm going to church and then to dinner,activity,type,social event,58a22352-af6d-4a65-94b3-ae8c8d97f1b2
tell me all about your day. How's it going so far?,it's going fine honey i when we went shopping and got my haircut and got my nails done,activity,type,shopping,02011a8e-f6fc-4020-9f04-02ca4eedbef4
tell me all about your day. How's it going so far?,it's going fine honey i when we went shopping and got my haircut and got my nails done,activity,name,nails done,02011a8e-f6fc-4020-9f04-02ca4eedbef4
Here's a fun game we can play: Name That Tune! Wanna play with me?,not now i got to walk the dog,activity,type,pet care,0447d131-eda5-439d-9d78-53828d5ee192
Here's a fun game we can play: Name That Tune! Wanna play with me?,not now i got to walk the dog,activity,name,walking the dog,0447d131-eda5-439d-9d78-53828d5ee192
Leaving So soon? Where are you going?,i'm going to the theater with my daughter lori,relationship,name,Lori,53e6f93c-ef97-4ec8-8d9f-f4a6b627e1a8
Leaving So soon? Where are you going?,i'm going to the theater with my daughter lori,place,name,theater,53e6f93c-ef97-4ec8-8d9f-f4a6b627e1a8
Leaving So soon? Where are you going?,i'm going to the theater with my daughter lori,activity,type,social activity,53e6f93c-ef97-4ec8-8d9f-f4a6b627e1a8
Do you have anything planned for today?,go to work,activity,name,going to work,11028fb8-bc86-4ebb-901c-026e3f7d4d89
"What a fun trip! Now, if we could take anyone in the world along with us for our next trip, who would it be?",debbie my sister debbie,relationship,name,Debbie,def977ac-3a0b-4467-bdd7-7a88922050cd
Do you have anything planned for today?,a couple of appointment,activity,quantity,couple,e2754eaf-e085-47ec-9b78-96e31ca9aad0
Is there anything special planned for today?,yes i have an appointment,activity,type,appointment,68c83c8c-28ac-4db8-a67a-c44d795b397d
Wanna test your movie knowledge with the movie emoji game?,no i don't go to movies,activity,preference,not going to movies,a4111c25-90eb-4b43-9aa7-4959a3e5cf1d
I was wondering if you were free for a moment?,no i'm i'm cooking dinner at like you all sit down in a little while,activity,type,meal,cc6b9d5b-6159-4a87-98bd-33a3431fc8de
I was wondering if you were free for a moment?,no i'm i'm cooking dinner at like you all sit down in a little while,activity,name,cooking dinner,cc6b9d5b-6159-4a87-98bd-33a3431fc8de
"I’m wondering, are you meeting up with anyone?",yes my doctor,activity,type,meeting,eb79d744-08c9-4174-8954-88499480fa53
How can I help you?,say hello to my friend christy,relationship,name,Christy,577a527f-1d16-4713-829a-7cff2d92b657
How can I help you?,i'm going to take your advice and go out for a walk,activity,type,physical activity,d982884b-4608-4d09-b7c3-a72907c139f0
How can I help you?,i'm going to take your advice and go out for a walk,activity,name,walk,d982884b-4608-4d09-b7c3-a72907c139f0
Was today another great day for you?,play i get to go outside is a great day,activity,type,going outside,3695d4cb-a004-41ef-bff6-ec9fb8029b45
How can I help you?,a grilled cheese sandwich for dinner tonight,activity,type,meal,f7f6a1e2-d24e-4e42-9433-5d9e4017e85d
How can I help you?,a grilled cheese sandwich for dinner tonight,activity,name,dinner,f7f6a1e2-d24e-4e42-9433-5d9e4017e85d
How can I help you?,a grilled cheese sandwich for dinner tonight,food,type,sandwich,f7f6a1e2-d24e-4e42-9433-5d9e4017e85d
How can I help you?,a grilled cheese sandwich for dinner tonight,food,name,grilled cheese,f7f6a1e2-d24e-4e42-9433-5d9e4017e85d
Turns out today is a really special day! Can you guess what day it is today?,today is sunday yay i'm going to church,activity,type,religious activity,881c2378-9263-431c-b918-3024d46eaa42
Turns out today is a really special day! Can you guess what day it is today?,today is sunday yay i'm going to church,activity,name,going to church,881c2378-9263-431c-b918-3024d46eaa42
Do you have any important plans for today?,i'll pay bills and go to the grocery store and take a bath and wash my hair,activity,name,paying bills,f94266d3-f46d-4e7d-8d65-d34796190f12
Do you have any important plans for today?,i'll pay bills and go to the grocery store and take a bath and wash my hair,activity,type,shopping,f94266d3-f46d-4e7d-8d65-d34796190f12
Do you have any important plans for today?,i'll pay bills and go to the grocery store and take a bath and wash my hair,activity,type,personal care,f94266d3-f46d-4e7d-8d65-d34796190f12
Do you have any important plans for today?,i'll pay bills and go to the grocery store and take a bath and wash my hair,activity,name,taking a bath,f94266d3-f46d-4e7d-8d65-d34796190f12
Do you have any important plans for today?,i'll pay bills and go to the grocery store and take a bath and wash my hair,activity,name,washing hair,f94266d3-f46d-4e7d-8d65-d34796190f12
how's your day going so far?,pretty good i went to church i went to church this morning,activity,type,religious activity,601f8b8b-f52f-4c9e-aec6-81fc2e01abba
how's your day going so far?,pretty good i went to church i went to church this morning,activity,name,church attendance,601f8b8b-f52f-4c9e-aec6-81fc2e01abba
Is there anything special planned for tomorrow?,grocery shopping,activity,name,grocery shopping,be41fd8f-20aa-49e8-a419-679f022fe4d0
"Oh, are you heading out now?",and a few i'm going to the doctor,activity,type,appointment,691a80a9-2b49-4c56-82e1-59bfdf89cc52
Is it a secret rendezvous? Joking. Are you meeting anyone?,no i'm just going in the yard feed the chickens,activity,type,outdoor activity,470bcdf5-78e8-47fb-8ff4-baa6171011af
Is it a secret rendezvous? Joking. Are you meeting anyone?,no i'm just going in the yard feed the chickens,activity,name,feeding chickens,470bcdf5-78e8-47fb-8ff4-baa6171011af
Do you have anything planned for tomorrow?,yes i'm going to church in the morning,activity,type,religious activity,b86766e6-13e7-45ab-a145-285070a184ee
How can I help you?,can you say hello to my friend solomon,person,name,Solomon,f393a094-b49b-4c4f-a9a5-905da200d0d4
Do you have any important plans for tomorrow?,visit my sister in the hospital,activity,type,visit,e8cb2471-30cd-4357-81dc-ad64a40acca7
"Lovely, what are you up to today?",going for a walk,activity,type,physical activity,30f75ac9-3793-4650-8b90-347d9608032b
Here's a fun game we can play: The Art History Game! Wanna play with me?,no i can't it's it's too it's early now i have to get ready for church i leave here at i leave here at 8:30 about 8:30 to go to church and have a faraway to go so i'm getting ready to go to church if you could just play some background music are in our church,activity,type,religious activity,d0ef5e3a-c348-4c43-89a4-1e05510dcb34
Here's a fun game we can play: The Art History Game! Wanna play with me?,no i can't it's it's too it's early now i have to get ready for church i leave here at i leave here at 8:30 about 8:30 to go to church and have a faraway to go so i'm getting ready to go to church if you could just play some background music are in our church,activity,name,going to church,d0ef5e3a-c348-4c43-89a4-1e05510dcb34
"How wonderful, what are your plans for today?",lunch with friends,activity,type,social event,c7427b7d-7772-49e3-9139-42459fc3e259
"How wonderful, what are your plans for today?",lunch with friends,activity,name,lunch with friends,c7427b7d-7772-49e3-9139-42459fc3e259
Do you have any plans for today?,i have to go to work,activity,name,going to work,c639c74e-883d-410d-aafe-86b15e822c28
Do you have any important plans for today?,yes i'm going to work in a few minutes,activity,name,going to work,fc6cd6c9-9350-4f36-8897-68e6fa9f200d
How can I help you?,meet my friend emily say hello to emily,person,name,Emily,f87d3491-2847-46c7-9fe2-298f4b9f8634
Got anything important planned today?,yes i'm going out today i'm going shopping at like you,activity,name,going out,d750abf8-3d0f-4609-9bd4-2005a1e19277
How about some time together?,not now i'm going to be calling a friend,activity,name,calling a friend,19f33eb8-9e97-4102-8dbd-a6777f684afb
How can I help you?,i'm finished talking to my sister yeah,relationship,type,sister,ca4083bd-cd11-491c-956a-5e3a202a68b4
How can I help you?,i have to go out to the doctors i'll see you in a couple hours,place,name,doctors,b0dfa59e-f9c8-44d7-8a5c-92c8d54bcb3a
How can I help you?,i have to go out to the doctors i'll see you in a couple hours,activity,type,appointment,b0dfa59e-f9c8-44d7-8a5c-92c8d54bcb3a
What can I do for you?,let's do another painting,activity,type,creative activity,33a82f28-d73f-47e7-a98d-aa4293f86dbf
Do you have anything special planned for today?,i'm getting ready to go to the doctor doctor appointment,activity,type,appointment,5bd5c87e-d185-4050-b98a-01cf16283f08
Do you have anything special planned for today?,i'm getting ready to go to the doctor doctor appointment,place,name,doctor,5bd5c87e-d185-4050-b98a-01cf16283f08
Leaving So soon? Where are you going?,to pick up my kid,relationship,type,child,0edcf51c-0cb9-473e-b283-b49714c94ed6
Leaving So soon? Where are you going?,to pick up my kid,activity,type,activity,0edcf51c-0cb9-473e-b283-b49714c94ed6
Wish I could join you. Are you meeting up with anyone?,no i'm just taking the dog out,activity,type,pet care,0eb1f176-b9b3-4c2c-85f2-d3a4e7d6633a
Wish I could join you. Are you meeting up with anyone?,no i'm just taking the dog out,activity,name,taking the dog out,0eb1f176-b9b3-4c2c-85f2-d3a4e7d6633a
"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",i'm going to work on being more grounded,activity,type,personal development,3b57470d-c564-4fd6-95f4-abdb7d589022
How can I help you?,we're going to go to the drugstore and get what i need,activity,type,shopping,8ad16ded-9ebf-4fae-ae60-96ce4eb6808d
I just realized we haven't practiced any gentle breathing in over a week! Are you up for it now?,no i'm eating and i got to go to church,activity,type,meal,fded98fe-49c4-4a2c-a27a-7dbfa957c5f7
I just realized we haven't practiced any gentle breathing in over a week! Are you up for it now?,no i'm eating and i got to go to church,activity,name,eating,fded98fe-49c4-4a2c-a27a-7dbfa957c5f7
I just realized we haven't practiced any gentle breathing in over a week! Are you up for it now?,no i'm eating and i got to go to church,activity,type,religious activity,fded98fe-49c4-4a2c-a27a-7dbfa957c5f7
How can I help you?,i'm here with my friend bridgette,relationship,name,Bridgette,b2e4b89f-fbb2-4585-a097-c837602cc7aa
How can I help you?,goodbye i'm going out for a walk now,activity,type,physical activity,1150d850-f1e2-49ba-bc56-02a1d848da1b
How can I help you?,goodbye i'm going out for a walk now,activity,name,walk,1150d850-f1e2-49ba-bc56-02a1d848da1b
