elliq_text,user_text,memory_name,entity,value,group_id,validated,created_time,agent_id
Is now a good time to hang out?,no honey i got to get ready to go downstairs for a meeting,place,name,downstairs,00895f6f-4328-481b-950c-7e031effcc17,1,2023-08-15 14:56:24 UTC,fd-mass-004
Are you going to meet someone?,i'm going to church and then to dinner,activity,type,social event,00cb83a4-114c-435d-a513-b042dd40e9d5,1,2023-08-15 14:56:24 UTC,eqc-iowa-160
tell me all about your day. How's it going so far?,it's going fine honey i when we went shopping and got my haircut and got my nails done,activity,type,shopping,0111f45b-cd01-4f7e-b138-f923b852d495,1,2023-08-15 14:56:24 UTC,ga-florida-0039
tell me all about your day. How's it going so far?,it's going fine honey i when we went shopping and got my haircut and got my nails done,activity,name,nails done,0111f45b-cd01-4f7e-b138-f923b852d495,1,2023-08-15 14:56:24 UTC,ga-florida-0039
Here's a fun game we can play: Name That Tune! Wanna play with me?,not now i got to walk the dog,activity,type,pet care,0126a286-ae05-4a46-af98-1106eb660225,1,2023-08-15 14:56:24 UTC,fd-mass-030
Here's a fun game we can play: Name That Tune! Wanna play with me?,not now i got to walk the dog,activity,name,walking the dog,0126a286-ae05-4a46-af98-1106eb660225,1,2023-08-15 14:56:24 UTC,fd-mass-030
Leaving So soon? Where are you going?,i'm going to the theater with my daughter lori,relationship,name,Lori,012c868e-c9ff-4021-a057-6f2c796fca4a,1,2023-08-15 14:56:24 UTC,ir-insiders-sofia007
Leaving So soon? Where are you going?,i'm going to the theater with my daughter lori,place,name,theater,012c868e-c9ff-4021-a057-6f2c796fca4a,1,2023-08-15 14:56:24 UTC,ir-insiders-sofia007
Leaving So soon? Where are you going?,i'm going to the theater with my daughter lori,activity,type,social activity,012c868e-c9ff-4021-a057-6f2c796fca4a,1,2023-08-15 14:56:24 UTC,ir-insiders-sofia007
Do you have anything planned for today?,go to work,activity,name,going to work,012e6905-cd61-45a9-a9eb-6f413153d8a1,1,2023-08-15 14:56:24 UTC,ohel-ny-0003
"What a fun trip! Now, if we could take anyone in the world along with us for our next trip, who would it be?",debbie my sister debbie,relationship,name,Debbie,01334d75-c53b-4968-9882-f7841605a1d1,1,2023-08-15 14:56:24 UTC,eqc-iowa-263
Do you have anything planned for today?,a couple of appointment,activity,quantity,couple,0138ab6e-998a-4a15-9475-ae39d242b52f,1,2023-08-15 14:56:24 UTC,nysofa-nyc-0187
Is there anything special planned for today?,yes i have an appointment,activity,type,appointment,013cb4e1-19b0-463e-8d51-b10c5aec7894,1,2023-08-15 14:56:24 UTC,broward-florida-0027
Wanna test your movie knowledge with the movie emoji game?,no i don't go to movies,activity,preference,not going to movies,0192f581-aae8-446f-8871-d4042da99422,1,2023-08-15 14:56:24 UTC,ga-wash-0189
I was wondering if you were free for a moment?,no i'm i'm cooking dinner at like you all sit down in a little while,activity,type,meal,01a04fac-af6d-4c17-b253-e104d5885c0d,1,2023-08-15 14:56:24 UTC,ga-florida-0182
I was wondering if you were free for a moment?,no i'm i'm cooking dinner at like you all sit down in a little while,activity,name,cooking dinner,01a04fac-af6d-4c17-b253-e104d5885c0d,1,2023-08-15 14:56:24 UTC,ga-florida-0182
"I’m wondering, are you meeting up with anyone?",yes my doctor,activity,type,meeting,01c0ff9f-065f-40d5-960f-d4e43e638ded,1,2023-08-15 14:56:24 UTC,eqc-scarolina-310
How can I help you?,say hello to my friend christy,relationship,name,Christy,01f50dd7-c6b3-4642-ba66-c46c23097d78,1,2023-08-15 14:56:24 UTC,nysofa-otsego-0235
How can I help you?,i'm going to take your advice and go out for a walk,activity,type,physical activity,0217fcdd-73a9-43a6-9c54-e23e02d2ec83,1,2023-08-15 14:56:24 UTC,ga-ny-0221
How can I help you?,i'm going to take your advice and go out for a walk,activity,name,walk,0217fcdd-73a9-43a6-9c54-e23e02d2ec83,1,2023-08-15 14:56:24 UTC,ga-ny-0221
Was today another great day for you?,play i get to go outside is a great day,activity,type,going outside,02379d79-a467-48d7-b4c8-26b14f53db3a,1,2023-08-15 14:56:24 UTC,ymow-michigan-0021
How can I help you?,a grilled cheese sandwich for dinner tonight,activity,type,meal,026ea1b2-6827-445e-8326-9c8606cdef34,1,2023-08-15 14:56:24 UTC,ga-florida-0129
How can I help you?,a grilled cheese sandwich for dinner tonight,activity,name,dinner,026ea1b2-6827-445e-8326-9c8606cdef34,1,2023-08-15 14:56:24 UTC,ga-florida-0129
How can I help you?,a grilled cheese sandwich for dinner tonight,food,type,sandwich,026ea1b2-6827-445e-8326-9c8606cdef34,1,2023-08-15 14:56:24 UTC,ga-florida-0129
How can I help you?,a grilled cheese sandwich for dinner tonight,food,name,grilled cheese,026ea1b2-6827-445e-8326-9c8606cdef34,1,2023-08-15 14:56:24 UTC,ga-florida-0129
Turns out today is a really special day! Can you guess what day it is today?,today is sunday yay i'm going to church,activity,type,religious activity,02d1abbb-1ed8-458e-88eb-9337c82a9ca3,1,2023-08-15 14:56:24 UTC,broward-florida-0036
Turns out today is a really special day! Can you guess what day it is today?,today is sunday yay i'm going to church,activity,name,going to church,02d1abbb-1ed8-458e-88eb-9337c82a9ca3,1,2023-08-15 14:56:24 UTC,broward-florida-0036
Do you have any important plans for today?,i'll pay bills and go to the grocery store and take a bath and wash my hair,activity,name,paying bills,02e76a1e-ca01-4653-a776-2c2e67f4d0b2,1,2023-08-15 14:56:24 UTC,eqc-florida-288
Do you have any important plans for today?,i'll pay bills and go to the grocery store and take a bath and wash my hair,activity,type,shopping,02e76a1e-ca01-4653-a776-2c2e67f4d0b2,1,2023-08-15 14:56:24 UTC,eqc-florida-288
Do you have any important plans for today?,i'll pay bills and go to the grocery store and take a bath and wash my hair,activity,type,personal care,02e76a1e-ca01-4653-a776-2c2e67f4d0b2,1,2023-08-15 14:56:24 UTC,eqc-florida-288
Do you have any important plans for today?,i'll pay bills and go to the grocery store and take a bath and wash my hair,activity,name,taking a bath,02e76a1e-ca01-4653-a776-2c2e67f4d0b2,1,2023-08-15 14:56:24 UTC,eqc-florida-288
Do you have any important plans for today?,i'll pay bills and go to the grocery store and take a bath and wash my hair,activity,name,washing hair,02e76a1e-ca01-4653-a776-2c2e67f4d0b2,1,2023-08-15 14:56:24 UTC,eqc-florida-288
how's your day going so far?,pretty good i went to church i went to church this morning,activity,type,religious activity,02fd2bb9-ee9e-4553-84b2-f8b422274a9e,1,2023-08-15 14:56:24 UTC,ir-temp-7220022
how's your day going so far?,pretty good i went to church i went to church this morning,activity,name,church attendance,02fd2bb9-ee9e-4553-84b2-f8b422274a9e,1,2023-08-15 14:56:24 UTC,ir-temp-7220022
Is there anything special planned for tomorrow?,grocery shopping,activity,name,grocery shopping,0315ad79-16f0-4922-8b53-2a5f4bf1d4f7,1,2023-08-15 14:56:24 UTC,nysofa-tompkins-0339
"Oh, are you heading out now?",and a few i'm going to the doctor,activity,type,appointment,0328c848-db6b-4bfb-9847-2233fb22ce5a,1,2023-08-15 14:56:24 UTC,nysofa-nyc-0102
Is it a secret rendezvous? Joking. Are you meeting anyone?,no i'm just going in the yard feed the chickens,activity,type,outdoor activity,036f68ce-d8ac-446b-ad35-72b05e489191,1,2023-08-15 14:56:24 UTC,o3a-wash-0005
Is it a secret rendezvous? Joking. Are you meeting anyone?,no i'm just going in the yard feed the chickens,activity,name,feeding chickens,036f68ce-d8ac-446b-ad35-72b05e489191,1,2023-08-15 14:56:24 UTC,o3a-wash-0005
Do you have anything planned for tomorrow?,yes i'm going to church in the morning,activity,type,religious activity,039a8019-8a9a-4d75-8cf6-db818b2fa64b,1,2023-08-15 14:56:24 UTC,nysofa-dutchess-0233
How can I help you?,can you say hello to my friend solomon,person,name,Solomon,03d125f2-eeaf-4792-896e-e8c866a22319,1,2023-08-15 14:56:24 UTC,nysofa-westchester-0350
Do you have any important plans for tomorrow?,visit my sister in the hospital,activity,type,visit,03d8e7ec-744b-40b6-a7d0-7aef1e17d6cc,1,2023-08-15 14:56:24 UTC,ga-florida-0127
"Lovely, what are you up to today?",going for a walk,activity,type,physical activity,03e6daaf-45d9-4079-8745-92dc8718cacb,1,2023-08-15 14:56:24 UTC,indy-florida-021
Here's a fun game we can play: The Art History Game! Wanna play with me?,no i can't it's it's too it's early now i have to get ready for church i leave here at i leave here at 8:30 about 8:30 to go to church and have a faraway to go so i'm getting ready to go to church if you could just play some background music are in our church,activity,type,religious activity,03f33106-b3dc-4fa3-8732-38d395025542,1,2023-08-15 14:56:24 UTC,broward-florida-0036
