agent_id,memory_name,entity,value,user_text,elliq_text,client_time
eqc-florida-202,place,people,dog,i'm taking the dog for a walk now,Yes?,2023-01-05 15:00:46 UTC
ga-illinois-0168,relationship,type,son,call my son,Would you like to hear an inspirational quote?,2023-01-05 18:00:11 UTC
ga-illinois-0168,relationship,type,son,not calling my son bakery,Hello-hello! Thanks for getting in touch. Literally! How can I help?,2023-01-05 22:20:36 UTC
ga-illinois-0168,relationship,type,son,thank you on the phone talking to my son,"",2023-01-05 23:31:13 UTC
eqc-florida-202,place,people,Will,like i can say to her i'm going grocery shopping goodbye and she'll say goodbye take care polar bear or somebody will say when i come home and hi alex asked me how was the grocery store sometimes when i'm leaving till say be sure to buy lots of fruits and vegetables so those personalized interactions that's my favorite feature,"",2023-01-05 16:16:27 UTC
ga-illinois-0168,place,people,Will,okay i'm going downstairs so i can get some food i need to get something to eat and then i will be back in my room and we can talk to me,"",2023-01-05 17:05:52 UTC
ga-illinois-0168,relationship,type,aunt,about a half an hour or so cuz i got to get my i'm trying to get to my aunt on the phone,"",2023-01-05 18:57:41 UTC
nysofa-greene-0101,place,name,bank,put in the bank and yeah so that was good and it was filled with things that i'm not using right i don't use those two extra okay,"",2023-01-05 18:36:20 UTC
ga-florida-0182,activity,name,busy,no i'm very busy i'm getting ready to go out,I'm curious about last night. Did you sleep any better?,2023-01-05 16:01:16 UTC
nysofa-greene-0101,favorite,type,dish,i like ice cream,"",2023-01-05 18:43:12 UTC
fd-mass-005,activity,type,meal,instead of going out to dinner i have to go to the funeral home and look for a casket for him,Are you free for a moment?,2023-01-05 23:08:42 UTC
indy-cali-019,activity,type,meal,i'm on my way to dinner so not now,I was wondering if you had a moment?,2023-01-05 22:32:42 UTC
eqc-florida-219,activity,type,meal,going out for dinner,"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",2023-01-05 19:45:02 UTC
nysofa-oswego-0053,activity,name,work,i work at a grocery store,Do you remember your first job?,2023-01-05 23:31:35 UTC
ir-vip-033,activity,name,work,i'm going to work,I'd like to share something with you. Do you have time right now?,2023-01-05 13:18:03 UTC
ga-mass-0091,activity,name,bingo,bingo,"Sorry, I got trivia, word scramble, guess that flag and a few others. Which will it be?",2023-01-05 19:03:47 UTC
nysofa-nyc-0018,activity,name,class,so i have to learn to set up call me for 15 minutes okay see you when you get back i mean it's like i love the relationship we have what can i say,"",2023-01-05 17:09:27 UTC
ga-virginia-0011,favorite,type,color,the yellow colour,What do you like about this photo?,2023-01-05 15:23:32 UTC
nysofa-westchester-0023,favorite,type,color,ginger you have to move,"<mstts:express-as style=""general""> <say-as interpret-as=""name"">Bea</say-as>,</mstts:express-as>",2023-01-05 01:18:03 UTC
ga-illinois-0168,place,name,music,you can keep playing the music but i have to leave i have to go back i'll be back in the i'll be back up here in a in a while okay,"",2023-01-05 15:22:07 UTC
ga-illinois-0168,activity,name,music,you can keep playing the music but i have to leave i have to go back i'll be back in the i'll be back up here in a in a while okay,"",2023-01-05 15:22:07 UTC
nysofa-westchester-0023,favorite,name,Ginger,ginger you have to move,"<mstts:express-as style=""general""> <say-as interpret-as=""name"">Bea</say-as>,</mstts:express-as>",2023-01-05 01:18:03 UTC
ir-temp-7220022,place,name,church,i went to church i went to church,I'm really curious about your day. How's it been so far?,2023-01-05 20:44:02 UTC
eqc-florida-219,activity,name,dinner,going out for dinner,"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",2023-01-05 19:45:02 UTC
fd-mass-005,activity,name,dinner,instead of going out to dinner i have to go to the funeral home and look for a casket for him,Are you free for a moment?,2023-01-05 23:08:42 UTC
fd-mass-005,place,name,dinner,instead of going out to dinner i have to go to the funeral home and look for a casket for him,Are you free for a moment?,2023-01-05 23:08:42 UTC
indy-cali-019,place,name,dinner,i'm on my way to dinner so not now,I was wondering if you had a moment?,2023-01-05 22:32:42 UTC
indy-cali-019,activity,name,dinner,i'm on my way to dinner so not now,I was wondering if you had a moment?,2023-01-05 22:32:42 UTC
nysofa-suffolk-0031,activity,name,doctor,the doctor,"Oh I'm curious, where did you go?",2023-01-05 20:08:50 UTC
eqc-colorado-239,activity,name,doctor,doctor appointment,"Great, what are your plans?",2023-01-05 15:10:57 UTC
ga-penn-0186,relationship,type,friend,would you like to meet my friend jan,Would you like to try a smiling exercise?,2023-01-05 14:18:46 UTC
ir-dev-cs3,relationship,type,mother,call mom,"",2023-01-05 17:00:27 UTC
ga-virginia-0011,favorite,name,yellow,the yellow colour,What do you like about this photo?,2023-01-05 15:23:32 UTC
nysofa-nyc-0010,activity,name,cooking,i'm making lunch okay,"",2023-01-05 17:27:50 UTC
nysofa-nyc-0010,activity,name,cooking,i'm in the kitchen making lunch,Yes?,2023-01-05 17:29:23 UTC
ga-hawaii-0005,activity,name,driving,i love to drive,Wanna hear today’s daily horoscope?,2023-01-05 20:02:52 UTC
nysofa-greene-0011,activity,name,fishing,google tell savannah that she has a beach date on sunday and savannah at work she said the peril to work me to needlepoint shop i should have gotten a job on a fishing boat or at the golf course what's this guy's name,"So, long story short, I have an extra ticket to a virtual art exhibition. Wanna be my plus one?",2023-01-05 21:30:14 UTC
eqc-florida-237,activity,name,funeral,i remember coming home to her crying at the scene where sally fields breaks down at her daughter's funeral,Did you have a pleasant day today?,2023-01-05 03:15:34 UTC
ga-mass-0091,activity,type,hobbies,bingo,"Sorry, I got trivia, word scramble, guess that flag and a few others. Which will it be?",2023-01-05 19:03:47 UTC
nysofa-nassau-0131,activity,type,hobbies,i can't crochet now,"I know you’re dealing with a bit of pain, but I wanted to ask, did you do any crocheting in the past week?",2023-01-05 04:49:01 UTC
nysofa-nyc-0090,activity,type,hobbies,crochet,How about you share a memory you have about a special family tradition?,2023-01-05 00:45:07 UTC
nysofa-greene-0101,activity,type,hobbies,no but if she was over here and she in this direction everything that goes on in the kitchen in the front door and then you said to me,"",2023-01-05 18:33:40 UTC
ga-illinois-0168,activity,type,hobbies,you can keep playing the music but i have to leave i have to go back i'll be back in the i'll be back up here in a in a while okay,"",2023-01-05 15:22:07 UTC
nysofa-greene-0011,activity,type,hobbies,google tell savannah that she has a beach date on sunday and savannah at work she said the peril to work me to needlepoint shop i should have gotten a job on a fishing boat or at the golf course what's this guy's name,"So, long story short, I have an extra ticket to a virtual art exhibition. Wanna be my plus one?",2023-01-05 21:30:14 UTC
ga-hawaii-0005,activity,type,hobbies,i love to drive,Wanna hear today’s daily horoscope?,2023-01-05 20:02:52 UTC
nysofa-greene-0101,relationship,type,husband,husband,"",2023-01-05 20:26:27 UTC
ga-penn-0186,activity,name,meeting,would you like to meet my friend jan,Would you like to try a smiling exercise?,2023-01-05 14:18:46 UTC
eqc-arizona-302,activity,name,meeting,to meet at a tuned for details,"",2023-01-05 13:59:37 UTC
ga-cali-0140,activity,name,meeting,you should ask your doctor's appointment,"",2023-01-05 21:41:57 UTC
ir-temp-7220023,relationship,type,partner,howdy partner,I'm having some issues understanding. Could you speak up a bit?,2023-01-05 15:44:55 UTC
ir-temp-7220028,relationship,type,partner,howdy partner,"",2023-01-05 15:46:13 UTC
indy-cali-019,activity,name,talking,so what i'm getting dressed for lunch at like you can't talk to you when i get back,I was wondering if you had a moment?,2023-01-05 17:45:11 UTC
nysofa-greene-0101,activity,name,theater,the doorway most time and show,"",2023-01-05 18:34:36 UTC
ga-hawaii-0005,place,intent,visited,and the thieves who stole both the truck and the atm are still on the loose bhm blanco,"<mstts:express-as style=""general""> Hey!</mstts:express-as>",2023-01-05 04:08:04 UTC
ir-temp-7220022,place,intent,visited,i went to church i went to church,I'm really curious about your day. How's it been so far?,2023-01-05 20:44:02 UTC
nysofa-oswego-0053,place,intent,visited,i work at a grocery store,Do you remember your first job?,2023-01-05 23:31:35 UTC
nysofa-suffolk-0031,place,intent,visited,the doctor,"Oh I'm curious, where did you go?",2023-01-05 20:08:50 UTC
ga-cali-0140,place,intent,visited,you should ask your doctor's appointment,"",2023-01-05 21:41:57 UTC
nysofa-greene-0101,place,intent,visited,i'm a member of the house freedom caucus,"",2023-01-05 20:17:41 UTC
nysofa-greene-0101,place,intent,visited,first thing he brought me was a red shorts.,"",2023-01-05 18:50:51 UTC
eqc-florida-314,place,intent,visited,i'm still not home i'm in the hospital rehab,"So, <say-as interpret-as=""name"">Donna</say-as>, tell me all about your adventure outside. Where did you go?",2023-01-05 17:22:47 UTC
nysofa-nyc-0034,place,intent,visited,walking home from school,are you free for a minute?,2023-01-05 14:35:49 UTC
nysofa-greene-0101,place,intent,visited,she was like that when i put into his office last,"",2023-01-05 18:39:26 UTC
eqc-florida-202,activity,name,walking,i'm taking the dog for a walk now,Yes?,2023-01-05 15:00:46 UTC
nysofa-nyc-0034,activity,name,walking,walking home from school,are you free for a minute?,2023-01-05 14:35:49 UTC
ga-florida-0182,activity,type,activity,no i'm very busy i'm getting ready to go out,I'm curious about last night. Did you sleep any better?,2023-01-05 16:01:16 UTC
