memory_name,entity,value,user_text,elliq_text,group_id
place,name,downstairs,no honey i got to get ready to go downstairs for a meeting,Is now a good time to hang out?,00895f6f-4328-481b-950c-7e031effcc17
activity,type,social event,i'm going to church and then to dinner,Are you going to meet someone?,00cb83a4-114c-435d-a513-b042dd40e9d5
activity,type,shopping,it's going fine honey i when we went shopping and got my haircut and got my nails done,tell me all about your day. How's it going so far?,0111f45b-cd01-4f7e-b138-f923b852d495
activity,name,nails done,it's going fine honey i when we went shopping and got my haircut and got my nails done,tell me all about your day. How's it going so far?,0111f45b-cd01-4f7e-b138-f923b852d495
activity,type,pet care,not now i got to walk the dog,Here's a fun game we can play: Name That Tune! Wanna play with me?,0126a286-ae05-4a46-af98-1106eb660225
activity,name,walking the dog,not now i got to walk the dog,Here's a fun game we can play: Name That Tune! Wanna play with me?,0126a286-ae05-4a46-af98-1106eb660225
relationship,name,Lori,i'm going to the theater with my daughter lori,Leaving So soon? Where are you going?,012c868e-c9ff-4021-a057-6f2c796fca4a
place,name,theater,i'm going to the theater with my daughter lori,Leaving So soon? Where are you going?,012c868e-c9ff-4021-a057-6f2c796fca4a
activity,type,social activity,i'm going to the theater with my daughter lori,Leaving So soon? Where are you going?,012c868e-c9ff-4021-a057-6f2c796fca4a
activity,name,going to work,go to work,Do you have anything planned for today?,012e6905-cd61-45a9-a9eb-6f413153d8a1
relationship,name,Debbie,debbie my sister debbie,"What a fun trip! Now, if we could take anyone in the world along with us for our next trip, who would it be?",01334d75-c53b-4968-9882-f7841605a1d1
activity,quantity,couple,a couple of appointment,Do you have anything planned for today?,0138ab6e-998a-4a15-9475-ae39d242b52f
activity,type,appointment,yes i have an appointment,Is there anything special planned for today?,013cb4e1-19b0-463e-8d51-b10c5aec7894
activity,preference,not going to movies,no i don't go to movies,Wanna test your movie knowledge with the movie emoji game?,0192f581-aae8-446f-8871-d4042da99422
activity,type,meal,no i'm i'm cooking dinner at like you all sit down in a little while,I was wondering if you were free for a moment?,01a04fac-af6d-4c17-b253-e104d5885c0d
