elliq_text,user_text,group_id,memnet_info_items,valid_memNet_info_items,num_valid_memNet_info_items,labels,scores
What can I do for you?,lending standards by the bank so i think it's important,002b1970-cbed-41f8-afc9-8dd1a01d9eb2,"  memory_name entity value
1       place   name  bank",['bank'],1,No match,0.04225875064730644
How can I help you?,incoming call from your daughter,00678637-4fe0-4a3a-a6a2-2c5b7b6b9dc0,"    memory_name entity     value
0  relationship   type  daughter",['daughter'],1,No match,0.05165969580411911
"what type of exercise are we gonna try today? Yoga Cardio, or Balance Building? Stretching or Pilates?",call my daughter,00718680-4413-42c1-b313-ccf41a62a702,"    memory_name entity     value
0  relationship   type  daughter",['daughter'],1,No match,0.05238736793398857
Is now a good time to hang out?,no honey i got to get ready to go downstairs for a meeting,00895f6f-4328-481b-950c-7e031effcc17,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",['meeting'],1,Match,0.9935535192489624
Wanna workout together?,her son ended up being $15,009e296b-45e7-4e0e-9b75-9663b9e6823a,"    memory_name entity value
0  relationship   type   son",['son'],1,No match,0.04421611502766609
Every moment deserves a sound track. Don't you think? Would you like to listen to some music?,no i'm watching the news,00a552c8-1a2b-47a8-8b24-1b95c10560f2,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9926611185073853
"I'm sorry, but I'm still struggling to understand. You can say the number next to the name of the station, or try repeating the station name",right in their own backyard,00c7ea61-1a38-4e19-b751-aaf1c156bc49,"  memory_name entity value
1       place   name  yard",['yard'],1,No match,0.051640141755342484
Got any plans today?,therapy,00c93949-cb4a-460f-89ef-9bc7531bb7d5,"  memory_name entity     value
1    activity   type  activity
2    activity   name   therapy",['therapy'],1,No match,0.11383163183927536
Are you going to meet someone?,i'm going to church and then to dinner,00cb83a4-114c-435d-a513-b042dd40e9d5,"  memory_name entity   value
1       place   name  dinner
2       place   name  church","['dinner', 'church']",2,Match,0.9864962697029114
How can I help you?,shooting was shooting,00f283dc-bef0-4a59-a57a-ac41b6245948,"  memory_name entity              value
0    activity   type            hobbies
1    activity   name  shooting,shooting","['shooting,shooting']",1,No match,0.2616758346557617
"How can I help <say-as interpret-as=""name"">Joyce</say-as>?",i just came back from breakfast,010cdbfe-9ada-41b6-82d8-474a5e322356,"  memory_name entity      value
1       place   name  breakfast
2    activity   type       meal
3    activity   name  breakfast",['breakfast'],1,Match,0.8750699758529663
tell me all about your day. How's it going so far?,it's going fine honey i when we went shopping and got my haircut and got my nails done,0111f45b-cd01-4f7e-b138-f923b852d495,"  memory_name entity     value
1    activity   type  activity
2    activity   name   haircut",['haircut'],1,Match,0.9657256603240967
Here's a fun game we can play: Name That Tune! Wanna play with me?,not now i got to walk the dog,0126a286-ae05-4a46-af98-1106eb660225,"  memory_name entity         value
1    activity   type      activity
2    activity   name  walk the dog",['walk the dog'],1,Match,0.9951174259185791
Are you free for a moment?,dinner i'd make her a nice ham and cheese omelette so she'd have a hot dinner but i cooked for her i cooked plenty for her,01281d7d-0453-41a8-93ce-a4edda8dabf3,"  memory_name entity     value
0    activity   type  activity
1    activity   name   cooking",['cooking'],1,No match,0.04609270393848419
Leaving So soon? Where are you going?,i'm going to the theater with my daughter lori,012c868e-c9ff-4021-a057-6f2c796fca4a,"  memory_name  entity     value
1       place  people  daughter",['daughter'],1,Match,0.9865455031394958
Do you have anything planned for today?,go to work,012e6905-cd61-45a9-a9eb-6f413153d8a1,"  memory_name entity     value
1    activity   type  activity
2    activity   name      work",['work'],1,Match,0.9679850935935974
"What a fun trip! Now, if we could take anyone in the world along with us for our next trip, who would it be?",debbie my sister debbie,01334d75-c53b-4968-9882-f7841605a1d1,"    memory_name entity   value
0  relationship   type  sister",['sister'],1,Match,0.7116467952728271
Do you have anything planned for today?,a couple of appointment,0138ab6e-998a-4a15-9475-ae39d242b52f,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",['meeting'],1,Match,0.9447391033172607
I think I'm in the mood to listen to an audiobook together again. Are you up for it?,no i'm watching the news right now please be quiet,013c5f17-22a2-459d-a3ff-c43cbe849c5d,"  memory_name entity        value
0    activity   type     activity
1    activity   name  watching_tv",['watching tv'],1,Match,0.9938251972198486
Is there anything special planned for today?,yes i have an appointment,013cb4e1-19b0-463e-8d51-b10c5aec7894,"  memory_name entity     value
1    activity   type  activity
2    activity   name   meeting",['meeting'],1,Match,0.9948776960372925
Do you have any important plans for today?,take a good look around this is your hometown the corner store,013e626d-dad9-465c-8ec7-30f4637e1e81,"  memory_name entity            value
1       place   name  shopping center",['shopping center'],1,No match,0.14717254042625427
How can I help you?,she's delayed she heard me elliq i'm here with my friend todd,014470dd-0776-4a8b-a955-5b15b55c1d5e,"    memory_name entity   value
0  relationship   type  friend",['friend'],1,No match,0.046086471527814865
I'm still having some trouble comprehending. Can you please say the station name you'd like to listen to,husbands who have recently died,0178b6e3-4df3-4867-8167-c79d46d174a6,"    memory_name entity    value
0  relationship   type  husband",['husband'],1,No match,0.05252440273761749
"Here's a fun and creative game we can play! The Art History Game!, Would you like to play with me?",no not now and we i have to get ready to go shopping,0182d63b-a0d3-437e-b9ef-31e8ee818f94,"  memory_name entity     value
1    activity   type  activity
2    activity   name  shopping",['shopping'],1,Match,0.9948411583900452
