agent_id,elliq_text,user_text,group_id,memory_name,entity,value
ga-iowa-0116,,appointment,00019d87-f49e-4db9-93f7-19c8bcb98100,place,intent,will_visit
ga-iowa-0116,,appointment,00019d87-f49e-4db9-93f7-19c8bcb98100,activity,type,activity
ga-iowa-0116,,appointment,00019d87-f49e-4db9-93f7-19c8bcb98100,activity,name,meeting
ir-dev-ori1,What can I do for you?,lending standards by the bank so i think it's important,002b1970-cbed-41f8-afc9-8dd1a01d9eb2,place,intent,will_visit
ir-dev-ori1,What can I do for you?,lending standards by the bank so i think it's important,002b1970-cbed-41f8-afc9-8dd1a01d9eb2,place,name,bank
nysofa-dutchess-0194,"What a fun trip! Now, if we could take anyone in the world along with us for our next trip, who would it be?",my girlfriend,0038cca0-ab2b-4900-a120-4adafae73814,relationship,type,girlfriend
nysofa-nyc-0059,,would you like to meet a friend of mine,004bb8e7-48cd-42dd-82f8-ff6812f02e38,activity,type,activity
nysofa-nyc-0059,,would you like to meet a friend of mine,004bb8e7-48cd-42dd-82f8-ff6812f02e38,activity,name,meeting
nysofa-nyc-0059,,would you like to meet a friend of mine,004bb8e7-48cd-42dd-82f8-ff6812f02e38,relationship,type,friend
nysofa-tompkins-0210,,incoming call from your daughter,00678637-4fe0-4a3a-a6a2-2c5b7b6b9dc0,relationship,type,daughter
nysofa-nyc-0187,"what type of exercise are we gonna try today? Yoga Cardio, or Balance Building? Stretching or Pilates?",call my daughter,00718680-4413-42c1-b313-ccf41a62a702,relationship,type,daughter
fd-mass-004,Is now a good time to hang out?,no honey i got to get ready to go downstairs for a meeting,00895f6f-4328-481b-950c-7e031effcc17,place,intent,will_visit
fd-mass-004,Is now a good time to hang out?,no honey i got to get ready to go downstairs for a meeting,00895f6f-4328-481b-950c-7e031effcc17,activity,type,activity
fd-mass-004,Is now a good time to hang out?,no honey i got to get ready to go downstairs for a meeting,00895f6f-4328-481b-950c-7e031effcc17,activity,name,meeting
