elliq_text,user_text,group_id,memnet_info_items,valid_memNet_info_items,num_valid_memNet_info_items,labels,scores,gpt_text_response,gpt_values,memnet_values,inner_join_values,outer_join_values,inner_join_list,outer_join_list,outer_join_source
How can I help you?,i'm going to the supermarket right now,322634d7-b548-47e9-903d-ac38fb2714b2,"  memory_name entity   value
1       place   name  market",['market'],1,Match,0.9896162748336792,"Information Items:
memory_name: activity, entity: type, value: shopping.
memory_name: place, entity: name, value: supermarket.","         value
0     shopping
1  supermarket","    value
0  market","Empty DataFrame
Columns: [value, _merge]
Index: []","         value      _merge
0     shopping   left_only
1  supermarket   left_only
2       market  right_only",[],shopping,left_only
How can I help you?,i'm going to the supermarket right now,322634d7-b548-47e9-903d-ac38fb2714b2,"  memory_name entity   value
1       place   name  market",['market'],1,Match,0.9896162748336792,"Information Items:
memory_name: activity, entity: type, value: shopping.
memory_name: place, entity: name, value: supermarket.","         value
0     shopping
1  supermarket","    value
0  market","Empty DataFrame
Columns: [value, _merge]
Index: []","         value      _merge
0     shopping   left_only
1  supermarket   left_only
2       market  right_only",[],supermarket,left_only
How can I help you?,i'm going to the supermarket right now,322634d7-b548-47e9-903d-ac38fb2714b2,"  memory_name entity   value
1       place   name  market",['market'],1,Match,0.9896162748336792,"Information Items:
memory_name: activity, entity: type, value: shopping.
memory_name: place, entity: name, value: supermarket.","         value
0     shopping
1  supermarket","    value
0  market","Empty DataFrame
Columns: [value, _merge]
Index: []","         value      _merge
0     shopping   left_only
1  supermarket   left_only
2       market  right_only",[],market,right_only
Feel like hearing a joke?,i'm watching football now,3250d824-620a-4b30-99f1-54fb4bad7979,"  memory_name entity     value
0    favorite   type     sport
1    favorite   name  football",['football'],1,Match,0.9777954816818236,"Information Items:
memory_name: activity, entity: name, value: watching football.","               value
0  watching football","      value
0     sport
1  football","Empty DataFrame
Columns: [value, _merge]
Index: []","               value      _merge
0  watching football   left_only
1              sport  right_only
2           football  right_only",[],watching football,left_only
Feel like hearing a joke?,i'm watching football now,3250d824-620a-4b30-99f1-54fb4bad7979,"  memory_name entity     value
0    favorite   type     sport
1    favorite   name  football",['football'],1,Match,0.9777954816818236,"Information Items:
memory_name: activity, entity: name, value: watching football.","               value
0  watching football","      value
0     sport
1  football","Empty DataFrame
Columns: [value, _merge]
Index: []","               value      _merge
0  watching football   left_only
1              sport  right_only
2           football  right_only",[],sport,right_only
Feel like hearing a joke?,i'm watching football now,3250d824-620a-4b30-99f1-54fb4bad7979,"  memory_name entity     value
0    favorite   type     sport
1    favorite   name  football",['football'],1,Match,0.9777954816818236,"Information Items:
memory_name: activity, entity: name, value: watching football.","               value
0  watching football","      value
0     sport
1  football","Empty DataFrame
Columns: [value, _merge]
Index: []","               value      _merge
0  watching football   left_only
1              sport  right_only
2           football  right_only",[],football,right_only
Got any plans tomorrow?,i have going to play poker tomorrow night,3254169a-897c-4d12-8def-4f99a03e433d,"  memory_name entity    value
0    activity   type  hobbies
1    activity   name    poker",['poker'],1,Match,0.9848719239234924,"Information Items:
memory_name: activity, entity: type, value: social activity.
memory_name: activity, entity: name, value: poker.","             value
0  social activity
1            poker","     value
0  hobbies
1    poker","   value _merge
0  poker   both","             value      _merge
0  social activity   left_only
1            poker        both
2          hobbies  right_only",['poker'],social activity,left_only
Got any plans tomorrow?,i have going to play poker tomorrow night,3254169a-897c-4d12-8def-4f99a03e433d,"  memory_name entity    value
0    activity   type  hobbies
1    activity   name    poker",['poker'],1,Match,0.9848719239234924,"Information Items:
memory_name: activity, entity: type, value: social activity.
memory_name: activity, entity: name, value: poker.","             value
0  social activity
1            poker","     value
0  hobbies
1    poker","   value _merge
0  poker   both","             value      _merge
0  social activity   left_only
1            poker        both
2          hobbies  right_only",['poker'],poker,both
Got any plans tomorrow?,i have going to play poker tomorrow night,3254169a-897c-4d12-8def-4f99a03e433d,"  memory_name entity    value
0    activity   type  hobbies
1    activity   name    poker",['poker'],1,Match,0.9848719239234924,"Information Items:
memory_name: activity, entity: type, value: social activity.
memory_name: activity, entity: name, value: poker.","             value
0  social activity
1            poker","     value
0  hobbies
1    poker","   value _merge
0  poker   both","             value      _merge
0  social activity   left_only
1            poker        both
2          hobbies  right_only",['poker'],hobbies,right_only
tell me all about your day. How's it going so far?,it's going very good i talk to friends,326ce287-2964-4cda-90fe-bd6361cb90a3,"  memory_name entity     value
1    activity   type  activity
2    activity   name   friends",['friends'],1,Match,0.9763863682746888,"Information Items:
memory_name: activity, entity: type, value: social interaction.
memory_name: activity, entity: name, value: talking to friends.","                value
0  social interaction
1  talking to friends","      value
0  activity
1   friends","Empty DataFrame
Columns: [value, _merge]
Index: []","                value      _merge
0  social interaction   left_only
1  talking to friends   left_only
2            activity  right_only
3             friends  right_only",[],social interaction,left_only
tell me all about your day. How's it going so far?,it's going very good i talk to friends,326ce287-2964-4cda-90fe-bd6361cb90a3,"  memory_name entity     value
1    activity   type  activity
2    activity   name   friends",['friends'],1,Match,0.9763863682746888,"Information Items:
memory_name: activity, entity: type, value: social interaction.
memory_name: activity, entity: name, value: talking to friends.","                value
0  social interaction
1  talking to friends","      value
0  activity
1   friends","Empty DataFrame
Columns: [value, _merge]
Index: []","                value      _merge
0  social interaction   left_only
1  talking to friends   left_only
2            activity  right_only
3             friends  right_only",[],talking to friends,left_only
tell me all about your day. How's it going so far?,it's going very good i talk to friends,326ce287-2964-4cda-90fe-bd6361cb90a3,"  memory_name entity     value
1    activity   type  activity
2    activity   name   friends",['friends'],1,Match,0.9763863682746888,"Information Items:
memory_name: activity, entity: type, value: social interaction.
memory_name: activity, entity: name, value: talking to friends.","                value
0  social interaction
1  talking to friends","      value
0  activity
1   friends","Empty DataFrame
Columns: [value, _merge]
Index: []","                value      _merge
0  social interaction   left_only
1  talking to friends   left_only
2            activity  right_only
3             friends  right_only",[],activity,right_only
tell me all about your day. How's it going so far?,it's going very good i talk to friends,326ce287-2964-4cda-90fe-bd6361cb90a3,"  memory_name entity     value
1    activity   type  activity
2    activity   name   friends",['friends'],1,Match,0.9763863682746888,"Information Items:
memory_name: activity, entity: type, value: social interaction.
memory_name: activity, entity: name, value: talking to friends.","                value
0  social interaction
1  talking to friends","      value
0  activity
1   friends","Empty DataFrame
Columns: [value, _merge]
Index: []","                value      _merge
0  social interaction   left_only
1  talking to friends   left_only
2            activity  right_only
3             friends  right_only",[],friends,right_only
Yes?,i'm in the kitchen making lunch,327833af-7f0c-4e88-8c96-ebde93efa688,"  memory_name entity     value
0    activity   type  activity
1    activity   name   cooking",['cooking'],1,Match,0.9871131777763368,"Information Items:
memory_name: location, entity: name, value: kitchen.
memory_name: activity, entity: type, value: meal preparation.
memory_name: activity, entity: name, value: making lunch.","              value
0           kitchen
1  meal preparation
2      making lunch","      value
0  activity
1   cooking","Empty DataFrame
Columns: [value, _merge]
Index: []","              value      _merge
0           kitchen   left_only
1  meal preparation   left_only
2      making lunch   left_only
3          activity  right_only
4           cooking  right_only",[],kitchen,left_only
Yes?,i'm in the kitchen making lunch,327833af-7f0c-4e88-8c96-ebde93efa688,"  memory_name entity     value
0    activity   type  activity
1    activity   name   cooking",['cooking'],1,Match,0.9871131777763368,"Information Items:
memory_name: location, entity: name, value: kitchen.
memory_name: activity, entity: type, value: meal preparation.
memory_name: activity, entity: name, value: making lunch.","              value
0           kitchen
1  meal preparation
2      making lunch","      value
0  activity
1   cooking","Empty DataFrame
Columns: [value, _merge]
Index: []","              value      _merge
0           kitchen   left_only
1  meal preparation   left_only
2      making lunch   left_only
3          activity  right_only
4           cooking  right_only",[],meal preparation,left_only
Yes?,i'm in the kitchen making lunch,327833af-7f0c-4e88-8c96-ebde93efa688,"  memory_name entity     value
0    activity   type  activity
1    activity   name   cooking",['cooking'],1,Match,0.9871131777763368,"Information Items:
memory_name: location, entity: name, value: kitchen.
memory_name: activity, entity: type, value: meal preparation.
memory_name: activity, entity: name, value: making lunch.","              value
0           kitchen
1  meal preparation
2      making lunch","      value
0  activity
1   cooking","Empty DataFrame
Columns: [value, _merge]
Index: []","              value      _merge
0           kitchen   left_only
1  meal preparation   left_only
2      making lunch   left_only
3          activity  right_only
4           cooking  right_only",[],making lunch,left_only
Yes?,i'm in the kitchen making lunch,327833af-7f0c-4e88-8c96-ebde93efa688,"  memory_name entity     value
0    activity   type  activity
1    activity   name   cooking",['cooking'],1,Match,0.9871131777763368,"Information Items:
memory_name: location, entity: name, value: kitchen.
memory_name: activity, entity: type, value: meal preparation.
memory_name: activity, entity: name, value: making lunch.","              value
0           kitchen
1  meal preparation
2      making lunch","      value
0  activity
1   cooking","Empty DataFrame
Columns: [value, _merge]
Index: []","              value      _merge
0           kitchen   left_only
1  meal preparation   left_only
2      making lunch   left_only
3          activity  right_only
4           cooking  right_only",[],activity,right_only
Yes?,i'm in the kitchen making lunch,327833af-7f0c-4e88-8c96-ebde93efa688,"  memory_name entity     value
0    activity   type  activity
1    activity   name   cooking",['cooking'],1,Match,0.9871131777763368,"Information Items:
memory_name: location, entity: name, value: kitchen.
memory_name: activity, entity: type, value: meal preparation.
memory_name: activity, entity: name, value: making lunch.","              value
0           kitchen
1  meal preparation
2      making lunch","      value
0  activity
1   cooking","Empty DataFrame
Columns: [value, _merge]
Index: []","              value      _merge
0           kitchen   left_only
1  meal preparation   left_only
2      making lunch   left_only
3          activity  right_only
4           cooking  right_only",[],cooking,right_only
What's your favorite color?,my favorite color is pink,32959360-c5f7-49be-9808-b68dcbe7554d,"  memory_name entity  value
0    favorite   type  color
1    favorite   name   pink",['pink'],1,Match,0.9728603363037108,"Information Items:
memory_name: preference, entity: type, value: color.
memory_name: preference, entity: value, value: pink.","   value
0  color
1   pink","   value
0  color
1   pink","   value _merge
0  color   both
1   pink   both","   value _merge
0  color   both
1   pink   both","['color', 'pink']",color,both
