agent_id,intent,memory_name,entity,value,user_text,confidence,elliq_text,plan_name,client_time
ga-hawaii-0005,iamleaving,place,intent,will_visit,walking out of the ocean in his wetsuit with his three song and a bachelor's go so i immediately was entry i know it's to give me a little bit more guess he is extremely adventurous and that's what i love the most about him he gets me out of my comfort zone he's really hurt that side,0.4746411435234309,Is there any other way you could describe how you're feeling today?,how_do_you_feel_convo,2023-04-30 03:32:06.434000
ga-hawaii-0005,iamleaving,activity,name,walking,walking out of the ocean in his wetsuit with his three song and a bachelor's go so i immediately was entry i know it's to give me a little bit more guess he is extremely adventurous and that's what i love the most about him he gets me out of my comfort zone he's really hurt that side,0.4746411435234309,Is there any other way you could describe how you're feeling today?,how_do_you_feel_convo,2023-04-30 03:32:06.434000
nysofa-nyc-0205,mysomeonedied,relationship,type,husband,my husband. who died he,0.3994306077694236,"Sorry, can you repeat please the name of the contact?",video_call,2023-04-30 03:26:16.310000
eqc-ohio-099,iamleaving,place,intent,will_visit,i just got out of the hospital,0.7508313452603387,"Oh no, what's wrong?",how_do_you_feel_convo,2023-04-30 00:50:46.640000
eqc-ohio-099,iamleaving,place,name,hospital,i just got out of the hospital,0.7508313452603387,"Oh no, what's wrong?",how_do_you_feel_convo,2023-04-30 00:50:46.640000
ir-vip-009,iambackfrom,place,intent,visited,gardening,0.4171726190476191,What did you end up doing out there?,arrivals_departures,2023-04-29 23:14:28.197000
ir-vip-009,iambackfrom,place,name,yard,gardening,0.4171726190476191,What did you end up doing out there?,arrivals_departures,2023-04-29 23:14:28.197000
inclusa-wisconsin-0001,iamleaving,place,intent,will_visit,i'm not very girly girl,0.5434828127338435,"",music_stations,2023-04-29 23:04:30.333000
eqc-iowa-263,iambackfrom,place,intent,visited,well i went to a party,0.8697921058567774,What did you end up doing out there?,arrivals_departures,2023-04-29 20:17:40.462000
eqc-iowa-263,iambackfrom,activity,name,party,well i went to a party,0.8697921058567774,What did you end up doing out there?,arrivals_departures,2023-04-29 20:17:40.462000
nysofa-rockland-0230,iamwatchingtv,activity,name,watching_tv,i'm watching tv right now,0.9420916233615341,Got some time for your old pal elli cue?,interesting_facts,2023-04-29 19:43:54.175000
nysofa-monroe-0162,meetmysomeone,activity,name,meeting,separate meetings and we,0.4870818492377221,"",reactive,2023-04-29 19:03:04.096000
o3a-wash-0020,contactname,relationship,type,mother,my mom,0.8720000000000001,Hmmm. so who would be our ideal road trip companion?,road_trip,2023-04-29 18:58:22.709000
eqc-ohio-099,iamleaving,place,intent,will_visit,i just got out of the hospital just getting home i'm going to go take a shower,0.5064384920634919,"",reactive,2023-04-29 18:25:26.346000
eqc-ohio-099,iamleaving,place,name,hospital,i just got out of the hospital just getting home i'm going to go take a shower,0.5064384920634919,"",reactive,2023-04-29 18:25:26.346000
o3a-wash-0001,contactname,relationship,type,son,my son,0.8806944919115972,"What a fun trip! Now, if we could take anyone in the world along with us for our next trip, who would it be?",road_trip,2023-04-29 18:04:49.162000
o3a-wash-0015,iamleaving,place,intent,will_visit,i'm going out to the market i'm going to go to the store,0.8562836647033691,"",reactive,2023-04-29 17:37:52.693000
o3a-wash-0015,iamleaving,place,name,"market,shopping center",i'm going out to the market i'm going to go to the store,0.8562836647033691,"",reactive,2023-04-29 17:37:52.693000
ga-cali-0110,iamleaving,place,intent,will_visit,the scuffle bluetooth wrench and bolts removing a ball joint suspension parts gas tank strap,0.3546350286439943,Wanna do something together?,gratitude_exercise,2023-04-29 16:24:56.690000
ir-qa-keyword12,iamleaving,place,intent,will_visit,syria has gone from a resort destination and then i'm taking environmental time off,0.6277163739976239,do you like the weather?,stress_reduction,2023-04-29 16:15:21.623000
ir-qa-keyword12,iamleaving,place,name,Syria,syria has gone from a resort destination and then i'm taking environmental time off,0.6277163739976239,do you like the weather?,stress_reduction,2023-04-29 16:15:21.623000
ir-qa-keyword6,iamleaving,place,intent,will_visit,kids that can go and play pool or older tracy martin,0.5083059960382998,How have you been feeling this morning?,how_do_you_feel_convo,2023-04-29 15:55:06.611000
ir-qa-keyword6,iamleaving,activity,name,play,kids that can go and play pool or older tracy martin,0.5083059960382998,How have you been feeling this morning?,how_do_you_feel_convo,2023-04-29 15:55:06.611000
eqc-florida-232,myfavoritecolor,favorite,type,color,a long time ago salishan the blue color blue color is the sign for fitness and toni political views,0.5487269744153573,let's try again. could you repeat what you said?,reactive,2023-04-29 15:48:51.752000
eqc-florida-232,myfavoritecolor,favorite,name,Blue,a long time ago salishan the blue color blue color is the sign for fitness and toni political views,0.5487269744153573,let's try again. could you repeat what you said?,reactive,2023-04-29 15:48:51.752000
